Mail ID,Author,Subject,TimeStamp,Content,Vendor,Item,Buyer,Amount,Quality,Weapon,Type,Vendor Type
00278486,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-12 20:50:33,"Vendor: MM Weapons has sold MM | Clearance E11 Carbine to djrtykow sloth for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance E11 Carbine,djrtykow sloth,60000,Clearance,E11 Carbine,Carbine,Weapon
00284221,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-13 07:37:53,"Vendor: Robo Vendor has sold Extrusive Ore (Eenagooite) 1000000 to Saraya Kasari for 9999999 credits.
The sale took place at Plains of Dust, on Lok.",Robo Vendor,Extrusive Ore (Eenagooite) 1000000,Saraya Kasari,9999999,,,,Other
00284223,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-13 07:37:56,"Vendor: Robo Vendor has sold Extrusive Ore (Eenagooite) 1000000 to Saraya Kasari for 9999999 credits.
The sale took place at Plains of Dust, on Lok.",Robo Vendor,Extrusive Ore (Eenagooite) 1000000,Saraya Kasari,9999999,,,,Other
00284225,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-13 07:37:59,"Vendor: Robo Vendor has sold Extrusive Ore (Eenagooite)  16849 to Saraya Kasari for 2 credits.
The sale took place at Plains of Dust, on Lok.",Robo Vendor,Extrusive Ore (Eenagooite)  16849,Saraya Kasari,2,,,,Other
00294252,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-14 07:38:21,"Vendor: MM Weapons has sold MM | Clearance Light Lightning Rifle to Knai Ta'Yok for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Light Lightning Rifle,Knai Ta'Yok,60000,Clearance,Light Lightning Rifle,Rifle,Weapon
00294975,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-14 12:07:02,"Vendor: MM Weapons has sold MM | Clearance Vibro Knuckler to Warton Freemn for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Vibro Knuckler,Warton Freemn,60000,Clearance,Vibro Knuckler,Melee,Weapon
00303598,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-15 11:37:27,"Vendor: MM Weapons has sold MM | Clearance Power Hammer to equaa Iseri for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Power Hammer,equaa Iseri,60000,Clearance,Power Hammer,Two Hand,Weapon
00327271,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-18 03:07:06,"Vendor: MM Weapons has sold MM | Clearance Light Lightning Rifle to Saren Vindecus for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Light Lightning Rifle,Saren Vindecus,60000,Clearance,Light Lightning Rifle,Rifle,Weapon
00328104,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-18 04:21:12,"Vendor: MM Weapons has sold MM | Clearance Vibro Knuckler to Gevu Ximu for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Vibro Knuckler,Gevu Ximu,60000,Clearance,Vibro Knuckler,Melee,Weapon
00333416,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-18 21:08:35,"Vendor: MM Weapons has sold MM | Clearance Long Vibro Axe to Mauldinz for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Long Vibro Axe,Mauldinz,60000,Clearance,Long Vibro Axe,Polearm,Weapon
00342369,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-19 19:12:12,"Vendor: MM Weapons has sold MM | Clearance Power Hammer to Babar for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Power Hammer,Babar,60000,Clearance,Power Hammer,Two Hand,Weapon
00344961,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-19 23:24:36,"Vendor: MM Weapons has sold MM | Clearance Vibro Knuckler to Ativad for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Vibro Knuckler,Ativad,60000,Clearance,Vibro Knuckler,Melee,Weapon
00362071,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-21 04:21:15,"Vendor: Harvesters and more by Yarr has sold Military Travel Pack to Yarr Myssk for 2000000 credits.
The sale took place at Tatooine, on Tatooine.",Harvesters and more by Yarr,Military Travel Pack,Yarr Myssk,2000000,,,,Other
00362073,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-21 04:21:22,"Vendor: Harvesters and more by Yarr has sold Cab Tech Full Set to Yarr Myssk for 1 credits.
The sale took place at Tatooine, on Tatooine.",Harvesters and more by Yarr,Cab Tech Full Set,Yarr Myssk,1,,,,Other
00378124,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-23 01:22:16,"Vendor: MM Weapons has sold MM | Clearance T21 Rifle to Pyrotosis for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance T21 Rifle,Pyrotosis,60000,Clearance,T21 Rifle,Rifle,Weapon
00379445,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-23 03:05:55,"Vendor: MM Weapons has sold MM | Sliced DL44 XT to Geolan Eclaih for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced DL44 XT,Geolan Eclaih,125000,Sliced,DL44 XT,Pistol,Weapon
00387156,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-24 02:40:13,"Vendor: MM Weapons has sold MM | Sliced EE3 Carbine to Saren Vindecus for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced EE3 Carbine,Saren Vindecus,125000,Sliced,EE3 Carbine,Carbine,Weapon
00405280,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-26 14:07:37,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Warton Freemn for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Vibro Knuckler,Warton Freemn,125000,Sliced,Vibro Knuckler,Melee,Weapon
00405286,SWG.Restoration.auctioner,Vendor Sale Complete,2022-02-26 14:07:52,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Warton Freemn for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Vibro Knuckler,Warton Freemn,125000,Sliced,Vibro Knuckler,Melee,Weapon
00442364,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-03 07:03:31,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to Odasal E'onio for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Long Vibro Axe,Odasal E'onio,125000,Sliced,Long Vibro Axe,Polearm,Weapon
00445391,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-03 22:05:21,"Vendor: A-A Rares And Furniture has sold MM | Premium LD-1 Rifle to A-A Builder for 350000 credits.
The sale took place at Nym Protectorate, on Lok.",A-A Rares And Furniture,MM | Premium LD-1 Rifle,A-A Builder,350000,Premium,LD-1 Rifle,Rifle,Weapon
00451700,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-04 21:19:10,"Vendor: Loot has sold LD-1 Rifle to Ralna for 10000 credits.
The sale took place at Plains of Dust, on Lok.",Loot,LD-1 Rifle,Ralna,10000,,,,Other
00457091,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-05 16:07:24,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Jeina Hellscream for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Vibro Knuckler,Jeina Hellscream,125000,Sliced,Vibro Knuckler,Melee,Weapon
00457808,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-05 18:15:56,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to FluffyHobo for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Long Vibro Axe,FluffyHobo,125000,Sliced,Long Vibro Axe,Polearm,Weapon
00458928,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-05 21:14:59,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00458935,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-05 21:16:21,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00458937,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-05 21:16:24,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00462282,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 04:59:46,"Vendor: MM Weapons has sold MM | Sliced Light Lightning Rifle to BluFalcoN Sua-Sponte for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Light Lightning Rifle,BluFalcoN Sua-Sponte,125000,Sliced,Light Lightning Rifle,Rifle,Weapon
00462736,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 06:38:04,"Vendor: MM Weapons has sold MM | Sliced Power Hammer to Marshall SoloWest for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Power Hammer,Marshall SoloWest,125000,Sliced,Power Hammer,Two Hand,Weapon
00463749,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 10:32:48,"Vendor: MM Weapons has sold MM | Sliced T21 Rifle to Dous for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced T21 Rifle,Dous,125000,Sliced,T21 Rifle,Rifle,Weapon
00464437,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 12:26:31,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00464439,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 12:26:34,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00464441,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-06 12:26:37,"Vendor: MM Weapons has sold MM | Enhanced DL44 XT to Revenant for 200000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced DL44 XT,Revenant,200000,Enhanced,DL44 XT,Pistol,Weapon
00473055,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-07 16:27:11,"Vendor: MM Weapons has sold MM | Sliced T21 Rifle to Morpheos Jardin for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced T21 Rifle,Morpheos Jardin,125000,Sliced,T21 Rifle,Rifle,Weapon
00492835,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-10 19:46:08,"Vendor: MM Weapons has sold MM | Sliced Vibro Knuckler to Eldoran Asla for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Vibro Knuckler,Eldoran Asla,125000,Sliced,Vibro Knuckler,Melee,Weapon
00496482,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-11 08:40:39,"Vendor: MM Weapons has sold MM | Clearance Vibro Knuckler to Lumen Airi for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Vibro Knuckler,Lumen Airi,60000,Clearance,Vibro Knuckler,Melee,Weapon
00502935,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-12 11:50:20,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to Misat for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Long Vibro Axe,Misat,125000,Sliced,Long Vibro Axe,Polearm,Weapon
00507314,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-13 02:40:39,"Vendor: MM Weapons has sold MM | Sliced Rocket Launcher to Dukegar Sun for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Rocket Launcher,Dukegar Sun,125000,Sliced,Rocket Launcher,Heavy,Weapon
00509045,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-13 08:02:18,"Vendor: MM Weapons has sold MM | Clearance Long Vibro Axe to Lumen Airi for 60000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Clearance Long Vibro Axe,Lumen Airi,60000,Clearance,Long Vibro Axe,Polearm,Weapon
00510570,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-13 16:08:58,"Vendor: MM Weapons has sold MM | Enhanced Light Lightning Rifle to Saren Vindecus for 225000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Light Lightning Rifle,Saren Vindecus,225000,Enhanced,Light Lightning Rifle,Rifle,Weapon
00510612,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-13 16:20:28,"Vendor: MM Weapons has sold MM | Enhanced Light Lightning Rifle to Melack for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Light Lightning Rifle,Melack,175000,Enhanced,Light Lightning Rifle,Rifle,Weapon
00516433,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-14 09:08:16,"Vendor: MM Weapons has sold MM | Enhanced Elite Carbine to Zahkul Inko for 175000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Enhanced Elite Carbine,Zahkul Inko,175000,Enhanced,Elite Carbine,Carbine,Weapon
00517514,SWG.Restoration.auctioner,Vendor Sale Complete,2022-03-14 15:57:31,"Vendor: MM Weapons has sold MM | Sliced Long Vibro Axe to Vortero Heruni for 125000 credits.
The sale took place at Tatooine, on Tatooine.",MM Weapons,MM | Sliced Long Vibro Axe,Vortero Heruni,125000,Sliced,Long Vibro Axe,Polearm,Weapon
